move,975,241,0.7479
move,952,269,0.0638
move,898,345,0.0559
move,794,493,0.056
move,734,581,0.0559
move,693,689,0.056
move,671,745,0.0561
move,681,769,0.3522
move,756,891,0.0642
move,802,970,0.0556
move,824,1019,0.056
move,833,1036,0.0558
move,841,1044,0.056
move,848,1056,0.3444
move,859,1110,0.0561
move,865,1133,0.0559
move,868,1154,0.0637
move,871,1163,0.056
move,872,1167,0.0557
move,872,1172,0.0563
move,872,1175,0.0726
move,873,1177,0.0633
move,874,1178,0.0561
click_press,874,1179,left,0.4327
click_release,874,1179,left,0.1115
move,871,1166,21.272
move,851,1013,0.056
move,844,880,0.0556
move,841,823,0.064
move,839,793,0.0558
move,836,773,0.4166
move,813,681,0.0559
move,802,607,0.0558
move,794,564,0.0558
move,791,550,0.0639
move,790,544,0.056
move,788,540,0.0562
move,779,524,0.0559
move,767,504,0.0561
move,764,496,0.0563
move,763,493,0.176
move,763,492,0.056
move,763,489,0.0716
move,763,485,0.0645
move,762,481,0.0798
click_press,761,481,left,0.3277
click_release,761,481,left,0.1122
move,779,480,4.6399
move,1116,454,0.056
move,1430,441,0.0561
move,1499,437,0.056
move,1548,434,0.7363
move,1913,391,0.0556
move,2039,367,0.0561
move,2058,361,0.064
move,2060,360,0.5521
move,2088,348,0.0639
move,2118,336,0.0559
move,2141,333,0.0561
move,2150,331,0.0556
move,2155,328,0.0562
move,2156,327,0.2721
move,2154,327,0.0643
move,2151,327,0.1923
click_press,2151,327,left,0.6
move,2151,335,0.1754
move,2155,392,0.0556
move,2160,438,0.0643
move,2159,471,0.0559
move,2160,494,0.056
move,2159,514,0.0561
move,2159,523,0.0558
move,2159,528,0.0561
move,2159,531,0.0641
click_release,2159,533,left,0.3919
move,2141,533,0.6323
move,1907,523,0.0556
move,1491,549,0.0561
move,1028,617,0.0557
move,767,654,0.0562
move,694,655,0.0564
move,682,655,0.0637
move,664,649,0.4404
move,551,587,0.0555
move,475,552,0.0561
move,410,515,0.0641
move,388,501,0.0562
move,371,495,0.0558
move,351,489,0.0558
move,333,480,0.0562
move,323,473,0.064
move,312,466,0.0562
move,305,461,0.0561
move,301,458,0.0719
click_press,301,458,left,1.1926
click_release,301,458,left,0.1194
move,376,447,2.7122
move,1133,379,0.0558
move,1432,373,0.0639
move,1518,376,0.4403
move,2012,363,0.0557
move,2175,363,0.056
move,2160,368,0.0561
move,2160,369,0.0642
move,2160,371,0.064
move,2159,374,0.0877
move,2159,376,0.0638
move,2154,377,0.0561
move,2148,377,0.0562
move,2143,377,0.08
move,2140,377,0.0639
move,2140,376,0.1841
move,2142,376,0.0555
move,2145,376,0.0643
move,2147,376,0.0643
move,2148,376,0.112
click_press,2148,376,left,0.6318
move,2152,393,0.1679
move,2160,500,0.0559
move,2160,547,0.056
move,2160,563,0.056
move,2159,573,0.0559
move,2159,579,0.0801
move,2159,580,0.2085
move,2159,580,0.1678
move,2160,589,0.0558
move,2159,621,0.056
move,2159,640,0.0559
move,2159,646,0.0643
click_release,2159,650,left,0.1758
move,2134,654,0.4962
move,1863,735,0.0556
move,1767,745,0.056
move,1721,745,0.0561
move,1699,745,0.0639
move,1685,745,0.0563
move,1664,747,0.0556
move,1643,754,0.0561
move,1619,768,0.0561
move,1597,778,0.0638
move,1581,787,0.056
move,1573,797,0.0561
move,1563,817,0.0562
move,1554,847,0.056
move,1549,858,0.0555
move,1545,867,0.0641
move,1542,878,0.0563
move,1542,884,0.0562
move,1542,888,0.0555
move,1542,893,0.0559
move,1541,898,0.0724
move,1540,901,0.1041
move,1540,901,0.0561
move,1537,900,0.056
move,1535,896,0.0556
move,1535,894,0.0642
move,1534,891,0.0561
move,1534,889,0.2886
click_press,1534,889,left,0.6794
click_release,1534,889,left,0.1279
move,1532,890,4.3116
move,1520,908,0.056
move,1516,923,0.064
move,1515,936,0.056
move,1515,945,0.056
move,1517,963,0.056
move,1537,996,0.056
move,1583,1023,0.056
move,1603,1026,0.0639
move,1614,1026,0.056
move,1622,1023,0.0564
move,1598,1041,0.8317
move,1498,1105,0.056
move,1403,1161,0.0641
move,1328,1199,0.056
move,1281,1230,0.056
move,1260,1239,0.056
move,1234,1244,0.0561
move,1214,1251,0.0559
move,1179,1268,0.0641
move,1155,1283,0.0559
move,1143,1290,0.0561
move,1137,1296,0.0639
move,1131,1300,0.0641
move,1127,1307,0.056
move,1123,1310,0.0641
move,1121,1314,0.0559
move,1121,1317,0.0802
move,1121,1320,0.0561
move,1121,1325,0.0556
move,1121,1328,0.0562
move,1121,1331,0.072
click_press,1121,1331,left,0.6326
click_release,1121,1331,left,0.1196
key_press,esc,4.9928
